Structure type,Structure title,Operation,Status,Details,Source structure URL,Destination structure URL,Source structure ID,Destination structure ID,Time stamp
"Feature","GettingStarted","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","4aec7207-0d02-4f4f-aa07-b370199cd0c7","","2018-10-26 16:59:55"
"Feature","WorkflowServiceStore","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","2c63df2b-ceab-42c6-aeff-b3968162d4b1","",""
"Feature","ContactsList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-7e6d-4186-9ba8-c047ac750105","",""
"Feature","CustomList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-de22-43b2-a848-c05709900100","",""
"Feature","DocumentLibrary","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-e717-4e80-aa17-d0c71b360101","",""
"Feature","DiscussionsList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-6a49-43fa-b535-d15c05500108","",""
"Feature","DataSourceLibrary","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-f381-423d-b9d1-da7a54c50110","",""
"Feature","DataConnectionLibrary","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-dbd7-4f72-b8cb-da7ac0440130","","2018-10-26 16:59:55"
"Feature","ExternalList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-9549-43f8-b978-e47e54a10600","",""
"Feature","EventsList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-ec85-4903-972d-ebe475780106","",""
"Feature","XmlFormLibrary","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-1e1d-4562-b56a-f05371bb0115","",""
"Site","Engineering","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","060b1396-f2c8-4f12-94ed-843d5b933481","06670dda-0291-4061-b6e0-f6c0cb392c51","2018-10-26 17:03:12"
"List","Site Assets","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/SiteAssets","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/SiteAssets","d056aeab-d30c-4d26-a6a5-3218507798d0","794c8b45-0225-4764-9ad2-6d4bdaeeb86a","2018-10-26 16:59:58"
"List","Documents","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/Shared Documents","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/Shared Documents","9f80397d-dcb4-4332-9cfe-f28176a82ea3","e4aa919a-b200-49cb-beca-4c7e0810321e","2018-10-26 17:00:01"
"List","Engineering Discussion","Created","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/Lists/Engineering Discussion","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/Lists/Engineering Discussion","a8ef5ffa-92eb-4eb4-b9f2-a71e412dbcca","a317d069-bc64-4313-822b-180386747730","2018-10-26 17:00:06"
"Field","ID","Skipped","","The object property is consistent between the source and the destination. Skip update","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","1d22ea11-1e32-424e-89ab-9fedbadb6ce1","1d22ea11-1e32-424e-89ab-9fedbadb6ce1",""
"Field","ID","Skipped","","The object property is consistent between the source and the destination. Skip update","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/SiteAssets","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/SiteAssets","1d22ea11-1e32-424e-89ab-9fedbadb6ce1","1d22ea11-1e32-424e-89ab-9fedbadb6ce1",""
"Field","Content Type ID","Skipped","","The object property is consistent between the source and the destination. Skip update","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","03e45e84-1992-4d42-9116-26f756012634","03e45e84-1992-4d42-9116-26f756012634",""
"Field","Content Type ID","Skipped","","The object property is consistent between the source and the destination. Skip update","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/SiteAssets","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/SiteAssets","03e45e84-1992-4d42-9116-26f756012634","03e45e84-1992-4d42-9116-26f756012634",""
"Field","Unique Id","Skipped","","The object property is consistent between the source and the destination. Skip update","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","4b7403de-8d94-43e8-9f0f-137a3e298126","4b7403de-8d94-43e8-9f0f-137a3e298126",""
"Field","Unique Id","Skipped","","The object property is consistent between the source and the destination. Skip update","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/SiteAssets","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/SiteAssets","4b7403de-8d94-43e8-9f0f-137a3e298126","4b7403de-8d94-43e8-9f0f-137a3e298126",""
"Field","Created","Skipped","","The object property is consistent between the source and the destination. Skip update","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","8c06beca-0777-48f7-91c7-6da68bc07b69","8c06beca-0777-48f7-91c7-6da68bc07b69",""
